Name,Price,Price_Origin,LINK,IMG,RATING
Điện Thoại Vivo Y02s (3GB/32GB) - Hàng Chính Hãng,2.750.000 ₫,3.490.000 ₫,"https://tiki.vn/dien-thoai-vivo-y02s-3gb-32gb-hang-chinh-hang-p193263880.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.193263882&itm_medium=CPC&itm_source=tiki-reco&spid=193263882
",https://salt.tikicdn.com/cache/200x280/ts/product/00/b8/88/a104b8b3dfb9a3bfe1f96124f05798fb.jpg,None

Điện Thoại Vivo V25e 2022 (8GB/128GB) - Hàng Chính Hãng,7.090.000 ₫,8.490.000 ₫,"https://tiki.vn/san-pham-moi-dien-thoai-vivo-v25e-2022-8gb-128gb-camera-sau-64mp-selfie-camera-32mp-man-hinh-amoled-6-44-inch-full-hd-90hz-p198111545.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.198123395&itm_medium=CPC&itm_source=tiki-reco&spid=198123395
",https://salt.tikicdn.com/cache/200x280/ts/product/d7/bc/2d/f018e67f8f365475e0e0552afd4caec9.png,None

Điện Thoại Xiaomi Redmi A1 2GB/32GB - Hàng Chính Hãng,1.979.000 ₫,2.190.000 ₫,"https://tiki.vn/dien-thoai-xiaomi-redmi-a1-2gb-32gb-hang-chinh-hang-p198968094.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.208250832&itm_medium=CPC&itm_source=tiki-reco&spid=208250832
",https://salt.tikicdn.com/cache/200x280/ts/product/d9/af/37/77c326c60cef7f6cd34339a296b2ea79.jpg,None

Điện thoại Samsung Galaxy A04s (4GB/64GB) - Hàng chính hãng,3.029.000 ₫,3.990.000 ₫,"https://tiki.vn/dien-thoai-samsung-galaxy-a04s-4gb-64gb-hang-chinh-hang-p198858451.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.198858461&itm_medium=CPC&itm_source=tiki-reco&spid=198858461
",https://salt.tikicdn.com/cache/200x280/ts/product/fe/1f/f5/0f0fb4ae550dd5cd6ef0f7b807ad5220.jpg,None

Điện thoại Realme Narzo 50i Prime (3GB/32GB) - Hàng Chính Hãng,1.890.000 ₫,None,"https://tiki.vn/dien-thoai-realme-narzo-50i-prime-3gb-32gb-hang-chinh-hang-p197653568.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.197653572&itm_medium=CPC&itm_source=tiki-reco&spid=197653572
",https://salt.tikicdn.com/cache/200x280/ts/product/a4/6a/6a/e947820d51e655801893c6fa9bb53d2c.jpg,None

Điện thoại Xiaomi 12 Pro (12GB/256GB) - Hàng chính hãng,18.900.000 ₫,None,"https://tiki.vn/dien-thoai-xiaomi-12-pro-12gb-256gb-hang-chinh-hang-p194020045.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.216970953&itm_medium=CPC&itm_source=tiki-reco&spid=216970953
",https://salt.tikicdn.com/cache/200x280/ts/product/19/2d/7a/e09a7eb4403b1d7da4050f97fa722f1f.jpg,None

Điện thoại Samsung Galaxy A33 5G (8/128GB) - Hàng chính hãng,7.790.000 ₫,None,"https://tiki.vn/dien-thoai-samsung-galaxy-a33-5g-8-128gb-chinh-hang-p181699058.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.181699066&itm_medium=CPC&itm_source=tiki-reco&spid=181699066
",https://salt.tikicdn.com/cache/200x280/ts/product/02/13/69/5c03f04371faedd419472d363d1c7e3d.jpg,None

"Điện thoại Oukitel WP5 Pro (Ram4GB,Rom 64Gb,pin 8.000mAh ,chống va đập,chống nước) - hàng chính hãng",3.990.000 ₫,None,"https://tiki.vn/dien-thoai-oukitel-wp5-pro-ram4gb-rom-64gb-pin-8-000mah-chong-va-dap-chong-nuoc-hang-chinh-hang-p65492829.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.65492830&itm_medium=CPC&itm_source=tiki-reco&spid=65492830
",https://salt.tikicdn.com/cache/200x280/ts/product/4d/b8/90/ad493060c6a221ce7fb8a2d5f310e072.jpg,None

Điện Thoại Masstel Hapi 30 3GB/32GB - Hàng Chính Hãng,1.889.000 ₫,2.390.000 ₫,"https://tiki.vn/dien-thoai-masstel-hapi-30-3gb-32gb-hang-chinh-hang-p155833852.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.155833858&itm_medium=CPC&itm_source=tiki-reco&spid=155833858
",https://salt.tikicdn.com/cache/200x280/ts/product/b7/df/fd/d0520778ff659a009d7cceed0ebf2927.jpg,None

